# Surrogate-Newton CFD coordinate example
# Two surfaces, ordered from leading edge to trailing edge.
zone upper
0.000000  0.000000
0.010000  0.015000
0.020000  0.021000
0.030000  0.026000
0.040000  0.030000
0.050000  0.033000
0.075000  0.040000
0.100000  0.045000
0.125000  0.049000
0.150000  0.052000
0.175000  0.055000
0.200000  0.057000
0.250000  0.060000
0.300000  0.061000
0.350000  0.061000
0.400000  0.060000
0.450000  0.058000
0.500000  0.055000
0.550000  0.051000
0.600000  0.047000
0.650000  0.042000
0.700000  0.037000
0.750000  0.031000
0.800000  0.025000
0.850000  0.019000
0.900000  0.013000
0.925000  0.010000
0.950000  0.007000
0.975000  0.004000
1.000000  0.001000
zone lower
0.000000  0.000000
0.010000 -0.009000
0.020000 -0.013000
0.030000 -0.016000
0.040000 -0.019000
0.050000 -0.021000
0.075000 -0.025000
0.100000 -0.029000
0.125000 -0.032000
0.150000 -0.034000
0.175000 -0.036000
0.200000 -0.037000
0.250000 -0.039000
0.300000 -0.040000
0.350000 -0.040000
0.400000 -0.039000
0.450000 -0.037000
0.500000 -0.035000
0.550000 -0.033000
0.600000 -0.030000
0.650000 -0.027000
0.700000 -0.023000
0.750000 -0.019000
0.800000 -0.015000
0.850000 -0.011000
0.900000 -0.007000
0.925000 -0.005000
0.950000 -0.003000
0.975000 -0.002000
1.000000 -0.001000
